Timestamp,Orientation (x),Orientation (y),Orientation (z),Orientation (w),Angular Velocity (x),Angular Velocity (y),Angular Velocity (z),Linear Acceleration (x),Linear Acceleration (y),Linear Acceleration (z)
1705722467.905504,-0.009549988760526498,0.037411932794619567,-0.26404822552392093,-0.9637363122747389,0.006799030117690563,-0.17810237407684326,-0.0024692725855856917,-2.24572285,0.029419950000001215,9.9243298
1705722468.1555293,-0.02289128479606759,0.059381336663121544,-0.2635766464503049,-0.9625368550775069,0.09344655275344849,-0.21294380724430084,-0.012057146988809083,-1.8632635,0.01961330000000123,10.01258965
1705722468.4055693,-0.04260196285172427,0.07958202458547285,-0.2599597045757599,-0.9613910370504508,0.11203823238611221,-0.16110238432884216,-0.05883326753973959,-1.4906108,0.019613300000001235,10.091042850000001
1705722468.6555955,-0.06023464565159524,0.08738302925068764,-0.24685390511855315,-0.9632233090981138,0.11093457788228989,-0.06291861832141879,-0.17655441164970398,-1.12776475,0.029419950000001246,10.179302700000001
1705722468.905635,-0.07857576018548729,0.08722885999303254,-0.2122234158282083,-0.970143390262386,0.1145382821559906,-0.03694389015436177,-0.41862332820892334,-0.81395195,0.04903325000000125,10.198916
1705722469.1546655,-0.09993737342897335,0.07955985739639822,-0.13657120463483513,-0.9823599424588589,0.1172102838754654,-0.0006265668198467306,-0.8204737901687622,-0.5491724,0.05883990000000125,10.18910935
1705722469.405697,-0.1229343017675343,0.06027296447975958,-0.010028310389721625,-0.9905320591442146,0.10784874856472015,0.053006030619144294,-1.1986923217773438,-0.3530394,0.08825985000000124,10.16949605
1705722469.6557226,-0.14322895151727225,0.02884732906916598,0.15436823996511273,-0.9771508304979899,0.08226430416107178,0.10060024261474591,-1.4571222066879272,-0.24516625,0.14709975000000125,10.16949605
1705722469.905761,-0.15487489509775534,-0.012310219124392376,0.3343615526145653,-0.9295507396085196,0.025419659912586212,0.12740819156169872,-1.5700217485427856,-0.2353596,0.24516625000000125,10.16949605
1705722470.1557822,-0.15390599892247286,-0.05751266016989775,0.5042949029990706,-0.8477569747427713,-0.03870005160570145,0.12632687389850597,-1.5047210454940796,-0.38245935,0.3138128000000013,10.1596894
1705722470.405822,-0.14216526547231084,-0.1002615482099344,0.6413883173652865,-0.7472333541746252,-0.0818941593170166,0.10705719143152222,-1.2923932075500488,-0.6472389000000001,0.28439285000000125,10.13026945
1705722470.655852,0.1232292155098402,0.13213084309223413,-0.7387212987414288,0.6493433941562365,-0.07979065924882889,0.020789818838238595,-0.9893960356712341,-0.97085835,0.12748645000000125,10.091042850000001
1705722470.9058862,0.10580580367407565,0.14948035774408056,-0.7930223040740025,0.5810132354763914,-0.055518943816423416,0.011075022630393446,-0.48548033833503723,-1.24544455,-0.06864654999999878,10.0223963
1705722471.1549149,0.10453112356198486,0.15864830548443723,-0.8062483903713518,0.5602387815899487,-0.017658930271863937,0.07845331728458405,0.018752064555883397,-1.44157755,-0.3040061499999988,9.93413645
1705722471.4059503,0.11703322385365884,0.16314765405231724,-0.7874597501125119,0.5827462650625785,-0.01435566134750843,0.08456491678953176,0.40247148275375366,-1.6279039,-0.45110589999999884,9.87529655
1705722471.6559746,0.13698902158281825,0.16482157125976524,-0.7443051583529269,0.6325169474903172,-0.0218201857060194,0.12149518728256234,0.6279816627502441,-1.9024901,-0.43149259999999884,9.8262633
1705722471.9060166,-0.16023513159359404,-0.16482966181917694,0.6858566259986147,-0.6904756141686362,-0.024905191734433174,0.13085192441940316,0.6782433986663818,-2.2359162,-0.2647795499999988,9.75761675
1705722472.1560357,-0.1787573268389955,-0.1644612083232255,0.6289476976122653,-0.738527672282137,-0.03720283508300781,0.07485133409500128,0.5096446871757507,-2.5301157,-0.019613299999998814,9.6889702
1705722472.4060738,-0.18501088393511902,-0.16348491319026873,0.5949091185337886,-0.764935812124172,-0.03927187621593475,0.026292832568287874,0.19186042249202728,-2.75566865,0.2353596000000012,9.6301303
1705722472.6560981,-0.18420970186151128,-0.1679101336702916,0.5916435435317396,-0.7667013043866069,-0.025799740105867386,0.03012737631797789,-0.11235842853784561,-2.9616083,0.4609125500000012,9.52225715
1705722472.9061306,-0.17970297238736477,-0.17787611760386027,0.6125677819759319,-0.7488842640798449,-0.012744452804327011,0.034677255898714024,-0.31844696402549744,-3.20677455,0.5295591000000012,9.40457735
1705722473.1551583,-0.17348461927012504,-0.1891702132858884,0.6456280874472189,-0.7192232546166161,0.008184308186173439,0.031098028644919347,-0.38889628648757935,-3.50097405,0.42168595000000114,9.26728425
1705722473.4051917,-0.16818649426780924,-0.19618997896099447,0.6770806458615836,-0.6890461481648742,0.0351908802986145,0.006825288757681809,-0.30686959624290466,-3.77556025,0.2059396500000011,9.1397978
